"True_Year","Site","Percent_Coral_Cover","Rugosity","Coral_Richness","Sponge_Richness","Fish_Richness","Sponge_and_Fish_Richness","Combined_Richness","Year"
1996,"pelican",21.5766666666667,28,12,NA,17,NA,NA,4
1996,"white",31.7066666666667,51,16,NA,26,NA,NA,4
1997,"bigelow",21.8433333333333,48,14,NA,23,NA,NA,5
1997,"crab",33.05,55,17,NA,20,NA,NA,5
1997,"grand",30.8033333333333,59,11,NA,25,NA,NA,5
1997,"iguana",54.42,63,18,NA,29,NA,NA,5
1997,"monkey",11.6,31,13,NA,17,NA,NA,5
1997,"muskN",53.0766666666667,66,19,NA,28,NA,NA,5
1997,"pelican",12.7533333333333,22,11,NA,11,NA,NA,5
1997,"white",27.7833333333333,50,17,NA,21,NA,NA,5
1998,"bigelow",14.3633333333333,44,15,NA,25,NA,NA,6
1998,"crab",24.91,48,14,NA,23,NA,NA,6
1998,"grand",21.77,74,13,NA,26,NA,NA,6
1998,"iguana",52.3533333333333,66,19,NA,32,NA,NA,6
1998,"monkey",5.41333333333333,30,7,NA,19,NA,NA,6
1998,"muskN",41.54,64,19,NA,30,NA,NA,6
1998,"pelican",11.07,29,9,NA,19,NA,NA,6
1998,"white",16.8366666666667,60,14,NA,26,NA,NA,6
1999,"bigelow",18.59,44,15,NA,21,NA,NA,7
1999,"crab",28.0533333333333,52,13,NA,28,NA,NA,7
1999,"grand",23.11,78,11,NA,32,NA,NA,7
1999,"iguana",52.2566666666667,57,16,NA,32,NA,NA,7
1999,"monkey",8.62666666666667,25,11,NA,20,NA,NA,7
1999,"muskN",40.3566666666667,57,19,NA,30,NA,NA,7
1999,"pelican",11.5766666666667,22,10,NA,18,NA,NA,7
1999,"white",24.0833333333333,54,14,NA,25,NA,NA,7
2000,"bigelow",19.2033333333333,49,15,29,23,52,67,8
2000,"crab",24.8966666666667,54,12,14,26,40,52,8
2000,"grand",30.7833333333333,75,13,24,35,59,72,8
2000,"iguana",61.7466666666667,61,17,18,24,42,59,8
2000,"monkey",6.91,26,10,30,18,48,58,8
2000,"muskN",44.4266666666667,59,17,8,30,38,55,8
2000,"pelican",13.06,30,10,18,13,31,41,8
2000,"white",29.1033333333333,58,15,21,26,47,62,8
2001,"bigelow",20.1933333333333,49,12,26,19,45,57,9
2001,"crab",23.9733333333333,47,15,16,27,43,58,9
2001,"grand",15.78,68,8,14,29,43,51,9
2001,"iguana",53.5833333333333,58,18,19,28,47,65,9
2001,"monkey",4.78333333333333,30,9,28,21,49,58,9
2001,"muskN",31.9133333333333,63,14,16,31,47,61,9
2001,"pelican",6.92,19,10,18,14,32,42,9
2001,"white",26.13,50,17,22,19,41,58,9
2002,"bigelow",21.7566666666667,45,11,26,23,49,60,10
2002,"crab",26.6233333333333,50,16,17,25,42,58,10
2002,"grand",23.9466666666667,76,10,22,24,46,56,10
2002,"iguana",47.88,63,18,20,28,48,66,10
2002,"monkey",8.80333333333333,33,11,31,20,51,62,10
2002,"muskN",33.9966666666667,58,16,16,35,51,67,10
2002,"pelican",10.2233333333333,19,10,19,14,33,43,10
2002,"white",41.6766666666667,48,17,24,20,44,61,10
2003,"bigelow",19.3933333333333,39,12,26,23,49,61,11
2003,"crab",38.4933333333333,55,17,16,27,43,60,11
2003,"grand",19.45,63,12,14,23,37,49,11
2003,"iguana",50.9766666666667,62,19,17,21,38,57,11
2003,"monkey",6.17,28,9,23,19,42,51,11
2003,"muskN",40.8366666666667,60,17,18,32,50,67,11
2003,"pelican",16.5266666666667,23,12,19,12,31,43,11
2003,"white",35.1733333333333,43,14,17,23,40,54,11
2004,"bigelow",16.21,52,15,NA,21,NA,NA,12
2004,"crab",21.0066666666667,52,11,NA,29,NA,NA,12
2004,"grand",17.9133333333333,70,9,NA,26,NA,NA,12
2004,"iguana",38.8866666666667,65,16,NA,30,NA,NA,12
2004,"monkey",4.05666666666667,28,2,NA,16,NA,NA,12
2004,"muskN",35.58,61,17,NA,29,NA,NA,12
2004,"pelican",8.61,25,10,NA,13,NA,NA,12
2004,"white",22.38,36,14,NA,26,NA,NA,12
2005,"bigelow",14.5966666666667,45,12,23,24,47,59,13
2005,"crab",19.7533333333333,26,13,15,31,46,59,13
2005,"grand",18.1466666666667,77,14,24,23,47,61,13
2005,"iguana",54.0733333333333,59,16,14,30,44,60,13
2005,"monkey",7.72666666666667,31,12,25,18,43,55,13
2005,"muskN",35.7133333333333,60,16,19,34,53,69,13
2005,"pelican",9.91666666666667,18,11,22,20,42,53,13
2005,"white",31.9533333333333,39,17,16,24,40,57,13
2006,"bigelow",14.11,49,10,21,22,43,53,14
2006,"crab",8.08,30,7,13,29,42,49,14
2006,"grand",10.3366666666667,63,9,26,28,54,63,14
2006,"iguana",37.1166666666667,49,17,17,27,44,61,14
2006,"monkey",6.11,33,8,29,24,53,61,14
2006,"muskN",30.99,65,13,17,30,47,60,14
2006,"pelican",7.69333333333333,26,7,22,14,36,43,14
2006,"white",13.7033333333333,37,8,16,18,34,42,14
2007,"bigelow",15.2133333333333,38,12,27,24,51,63,15
2007,"crab",17.41,27,12,14,19,33,45,15
2007,"grand",13.62,69,10,20,32,52,62,15
2007,"iguana",33.56,45,16,19,35,54,70,15
2007,"monkey",3.42,31,5,24,18,42,47,15
2007,"muskN",29.7533333333333,60,15,12,28,40,55,15
2007,"pelican",3.38333333333333,22,7,22,15,37,44,15
2007,"white",14.4133333333333,40,11,16,21,37,48,15
2008,"bigelow",15.5333333333333,48,14,23,26,49,63,16
2008,"crab",14.7766666666667,27,14,13,28,41,55,16
2008,"grand",13.5166666666667,75,8,21,28,49,57,16
2008,"iguana",30.5433333333333,47,18,17,30,47,65,16
2008,"monkey",5.53,29,10,29,19,48,58,16
2008,"muskN",29.62,60,15,19,27,46,61,16
2008,"pelican",7.43,30,9,20,19,39,48,16
2008,"white",15.31,38,12,20,26,46,58,16
2009,"bigelow",19.96,50,12,24,35,59,71,17
2009,"crab",13.0066666666667,34,12,15,27,42,54,17
2009,"grand",11.19,76,7,20,31,51,58,17
2009,"iguana",32.3933333333333,45,15,17,29,46,61,17
2009,"monkey",5.90333333333333,32,9,32,20,52,61,17
2009,"muskN",36.2733333333333,66,14,15,27,42,56,17
2009,"pelican",5.54,25,8,21,18,39,47,17
2009,"white",10.3266666666667,40,8,21,26,47,55,17
2010,"bigelow",20.5033333333333,35,14,25,20,45,59,18
2010,"crab",17.4933333333333,28,13,15,28,43,56,18
2010,"grand",14.7933333333333,60,13,22,25,47,60,18
2010,"iguana",37.2366666666667,50,17,17,32,49,66,18
2010,"monkey",9.00666666666667,28,11,31,16,47,58,18
2010,"muskN",42.8133333333333,55,16,19,35,54,70,18
2010,"pelican",7.29666666666667,24,8,23,15,38,46,18
2010,"white",21.3733333333333,36,11,20,24,44,55,18
2011,"bigelow",13.9133333333333,43,15,28,26,54,69,19
2011,"crab",10.5,30,9,21,21,42,51,19
2011,"grand",12.5366666666667,67,12,31,25,56,68,19
2011,"iguana",39.0766666666667,47,17,25,30,55,72,19
2011,"monkey",4.54,26,8,32,22,54,62,19
2011,"muskN",34.81,56,16,23,33,56,72,19
2011,"pelican",6.55333333333333,28,11,27,16,43,54,19
2011,"white",6.52333333333333,37,8,17,28,45,53,19
2012,"bigelow",10.6,40,11,28,17,45,56,20
2012,"crab",11.4333333333333,33,12,24,29,53,65,20
2012,"grand",12.33,63,8,31,29,60,68,20
2012,"iguana",30.9066666666667,48,14,26,33,59,73,20
2012,"monkey",4.33,28,8,30,21,51,59,20
2012,"muskN",22.4866666666667,50,14,23,29,52,66,20
2012,"pelican",8.46666666666667,24,10,27,17,44,54,20
2012,"white",6.24666666666667,31,6,24,22,46,52,20
2013,"bigelow",16.8566666666667,41,12,25,22,47,59,21
