"levels.coral_averages.Species_Code."
"acce"
"acpa"
"agag"
"Agliz"
"agsp"
"clar"
"cona"
"decy"
"dila"
"disp"
"dsto"
"eufa"
"fafr"
"hecu"
"issi"
"maar"
"maca"
"masp"
"meme"
"moan"
"Monliz"
"muan"
"mysp"
"ocul"
"poas"
"poco"
"pofu"
"popo"
"scsp"
"sisp"
"sosp"
"stin"
