"Year","Site","Percent_Coral_Cover","Rugosity","Coral_Richness","Sponge_Richness","Fish_Richness","Combined_Richness"
"2007","muskN",29.7533333333333,60,15,12,28,55
"2007","pelican",3.38333333333333,22,7,22,15,44
"2007","white",14.4133333333333,40,11,16,21,48
"2008","bigelow",15.5333333333333,48,14,23,26,63
"2008","crab",14.7766666666667,27,14,13,28,55
"2008","grand",13.5166666666667,75,8,21,28,57
"2008","iguana",30.5433333333333,47,18,17,30,65
"2008","monkey",5.53,29,10,29,19,58
"2008","muskN",29.62,60,15,19,27,61
"2008","pelican",7.43,30,9,20,19,48
"2008","white",15.31,38,12,20,26,58
"2009","bigelow",16.2666666666667,50,12,24,35,71
"2009","crab",13.0066666666667,34,12,15,27,54
"2009","grand",11.19,76,7,20,31,58
"2009","iguana",31.69,45,15,17,33,65
"2009","monkey",5.90333333333333,32,9,32,20,61
"2009","muskN",32.1533333333333,66,13,15,27,55
"2009","pelican",5.77,25,8,21,19,48
"2009","white",8.23666666666667,40,10,21,26,57
"2010","bigelow",20.5033333333333,35,14,25,20,59
"2010","crab",19.1533333333333,28,14,15,25,54
"2010","grand",14.7933333333333,60,13,22,25,60
"2010","iguana",37.2366666666667,50,17,17,32,66
"2010","monkey",9.00666666666667,28,11,31,16,58
"2010","muskN",37.6466666666667,55,16,18,32,66
"2010","pelican",7.29666666666667,24,8,23,15,46
"2010","white",21.3733333333333,36,11,20,24,55
"2011","bigelow",13.9133333333333,43,15,27,26,68
"2011","crab",10.5,30,9,24,23,56
"2011","grand",12.5366666666667,67,12,31,25,68
"2011","iguana",39.0766666666667,47,17,25,30,72
"2011","monkey",4.54,26,8,31,21,60
"2011","muskN",34.81,56,16,22,31,69
"2011","pelican",6.55333333333333,28,11,27,16,54
"2011","white",6.52333333333333,37,8,18,28,54
"2012","bigelow",10.9266666666667,40,11,28,17,56
"2012","crab",10.8133333333333,33,9,24,29,62
"2012","grand",11.2966666666667,63,9,31,29,69
"2012","iguana",38.8766666666667,48,16,26,33,75
"2012","monkey",5.36,28,7,30,21,58
"2012","muskN",25.7533333333333,50,16,23,29,68
"2012","pelican",8.89,24,8,27,17,52
"2012","white",2.72333333333333,31,4,24,22,50
"2013","bigelow",16.8566666666667,41,12,25,22,59
"2013","crab",11.3966666666667,35,10,23,29,62
"2013","grand",12.4233333333333,70,10,27,31,68
"2013","iguana",34.0133333333333,52,15,23,33,71
"2013","monkey",6.98,32,6,27,21,54
"2013","muskN",25.14,50,13,20,25,58
"2013","pelican",9.76333333333333,20,9,27,15,51
"2013","white",6.19333333333333,25,6,20,21,47
"2014","bigelow",13.4066666666667,39,10,30,23,63
"2014","crab",14.7766666666667,44,15,20,21,56
"2014","grand",14.3733333333333,63,13,28,28,69
"2014","monkey",27.59,31,16,29,22,67
"2014","muskN",34.82,52,16,17,29,62
"2014","pelican",8.77,23,12,NA,12,NA
"2014","white",8.52666666666667,31,8,15,20,43
"2015","bigelow",18.0966666666667,37,14,29,22,65
"2015","crab",9.83,35,10,20,21,51
"2015","grand",15.9266666666667,65,16,33,24,73
"2015","iguana",35.8433333333333,49,14,22,28,64
"2015","monkey",5.47666666666667,33,9,36,15,60
"2015","muskN",32.45,55,15,20,26,61
"2015","pelican",7.05666666666667,29,10,30,9,49
"2015","white",3.98333333333333,23,9,17,14,40
"2016","bigelow",15.3766666666667,36,13,28,19,60
"2016","crab",16.43,37,14,22,26,62
"2016","grand",14.13,60,14,25,24,63
"2016","iguana",28.8866666666667,54,15,20,23,58
"2016","monkey",6.15333333333333,30,11,29,22,62
"2016","muskN",26.4366666666667,57,14,20,22,56
"2016","pelican",6.90333333333333,17,9,27,14,50
"2016","white",10.52,22,12,18,22,52
"2017","bigelow",16.0033333333333,38,18,NA,23,NA
"2017","crab",16.6966666666667,33,18,21,26,65
"2017","grand",12.3633333333333,62,16,29,21,66
"2017","iguana",39.9,50,20,21,28,69
"2017","monkey",8.19666666666667,29,14,33,20,67
"2017","muskN",38.8366666666667,45,22,20,29,71
"2017","pelican",7.74,17,14,NA,17,NA
"2017","white",2.67666666666667,19,11,13,15,39
"2018","bigelow",18.4133333333333,40,21,26,28,75
"2018","crab",18.72,36,19,20,25,64
"2018","grand",15.4466666666667,59,15,31,27,73
"2018","iguana",40.49,48,21,19,29,69
"2018","monkey",7.89,26,17,29,26,72
"2018","muskN",38.0133333333333,49,19,19,36,74
"2018","pelican",9.33,24,18,24,24,66
"2018","white",3.1,20,12,17,26,55
"2014","iguana",NA,60,NA,19,32,NA
