"levels.fish_raw_longform.Species_Code."
"absa"
"acba"
"acch"
"acco"
"alsc"
"ampi"
"ansu"
"anvi"
"aptvo"
"auma"
"baca"
"bave"
"boru"
"caca"
"cama"
"cape"
"capu"
"caro"
"cear"
"ceara."
"chca"
"chcy"
"chf"
"chin"
"chmu"
"choc"
"chse"
"chst"
"clpa"
"crro"
"dihy"
"epad"
"epcr"
"epfu"
"epgu"
"epst"
"eqac"
"eqla"
"eqpu"
"geci"
"grlo"
"haau"
"habi"
"haca"
"hach"
"hacr"
"hacy"
"hafl"
"haga"
"hama"
"hame"
"hapi"
"hapl"
"hapo"
"hara"
"hasc"
"hast"
"haun"
"hoci"
"hotr"
"hych"
"hygu"
"hyin"
"hyni"
"hypu"
"hysp"
"hyun"
"invi"
"kyse"
"labi"
"lama"
"laqu"
"latr"
"luap"
"lugr"
"lujo"
"luma"
"lusy"
"meni"
"mich"
"moci"
"motu"
"muma"
"myti"
"myve"
"nius"
"occh"
"odde"
"poar"
"podi"
"pofu"
"pole"
"popa"
"popl"
"poru"
"pova"
"psma"
"ptvo"
"scco"
"sccr"
"scgu"
"scta"
"scve"
"seba"
"seta"
"seti"
"seto"
"spat"
"spau"
"spch"
"spdo"
"spra"
"spru"
"spsp"
"spvi"
"syin"
"sysa"
"sysy"
"thbi"
