"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr",4,1044.21235624367,0,1,0.580739907020912,-518.011391391978,0.580739907020912
"cc_yr_yrxcc",5,1045.63170484108,1.41934859740422,0.491804352694145,0.285610414056078,-517.67299527768,0.866350321076991
"cc_yr_site",11,1047.15966772924,2.9473114855648,0.229086471297661,0.133039656041153,-511.932775041088,0.999389977118143
"cc",3,1058.24158792215,14.0292316784819,0.000898650971913222,0.000521882481873137,-526.064190187491,0.999911859600016
"cc_site",10,1062.53519279037,18.3228365467021,0.000105013854031741,6.09857358263009e-05,-520.731011029333,0.999972845335843
"cc_site_sitexcc",17,1064.15337513861,19.9410188949423,4.67587362761381e-05,2.71546641574198e-05,-513.531233023852,1
