"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"r_site",10,1203.82184073602,0,1,0.749615855324252,-591.374335002154,0.749615855324252
"r_yr_site",11,1206.02311067174,2.20126993572035,0.332659788348327,0.249367051774716,-591.364496512339,0.998982907098968
"r_site_sitexr",17,1217.02706557986,13.2052248438486,0.00135681882030653,0.00101709290050412,-589.968078244478,0.999999999999472
"r_yr_yrxr",5,1260.92332309325,57.1014823572327,3.98630617050139e-13,2.98819830958474e-13,-625.318804403767,0.999999999999771
"r_yr",4,1261.64172231259,57.81988157657,2.78337834143012e-13,2.08646453610214e-13,-626.726074426435,0.999999999999979
"r",3,1266.25405171717,62.4322109811585,2.77343274572645e-14,2.07900915987202e-14,-630.070422085002,1
