"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr_site",11,909.336173655563,0,1,0.998433001176594,-442.79966577515,0.998433001176594
"cc_site",10,922.256350893552,12.9201772379884,0.00156465704591646,0.00156220523016648,-450.40922119841,0.99999520640676
"cc_site_sitexcc",17,933.829498173235,24.493324517672,4.80111555944171e-06,4.79359221700903e-06,-447.818858675659,0.999999999998977
"cc_yr",4,966.271684523959,56.9355108683957,4.3312265713302e-13,4.32443954438902e-13,-479.010056098457,0.999999999999409
"cc_yr_yrxcc",5,966.641498363341,57.3053247077778,3.60003603463821e-13,3.59439478240771e-13,-478.130875763949,0.999999999999769
"cc",3,967.524299416319,58.1881257607553,2.31530939960443e-13,2.31168131249943e-13,-480.687149708159,1
